gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
500000,121000000000 ,3771190,176871
500000,126000000000 ,3149107,176355
500000,108000000000 ,6862706,176559
500000,85850000000 ,4493374,176543
500000,105000000000 ,3024007,176355
500000,125000000000 ,4878466,176307
500000,135000000000 ,2656587,176379
500000,135000000000 ,7799033,175299
500000,135000000000 ,6722358,176751
500000,135000000000 ,5975541,176463
500000,134500000000 ,8560234,174711
500000,135000000000 ,4587731,176643
500000,135000000000 ,6578720,176991
500000,131000000000 ,3567307,238679
500000,127400001896 ,7062166,176355
500000,120500000000 ,7971410,175467
500000,130000000000 ,8617293,174867
500000,131000000000 ,4966612,176691
500000,121000000000 ,6631413,176187
500000,129000000000 ,3192438,176859
500000,130000000000 ,5177494,176403
500000,130000000000 ,7052663,176403
500000,130000000000 ,5514390,239051
500000,129642858706 ,9632433,176403
500000,130000000000 ,2979405,176391
500000,112000001459 ,2634172,176643
500000,112000000000 ,1410858,176391
500000,111638097000 ,11232029,176811
500000,108000000000 ,1455104,238667
500000,105600000000 ,2897446,176379
500000,105000000000 ,957624,176571
500000,105000000000 ,14163003,231078
500000,102465000000 ,9891926,176319
500000,93482749465 ,7403838,238687
500000,90000000000 ,5721320,175835
500000,83750000000 ,6998484,176915
500000,88000000000 ,3384077,176663
500000,91000000000 ,7021540,176423
500000,102000000000 ,4851378,176547
500000,102500000000 ,6799860,176355
500000,115600000000 ,2544837,176547
500000,107020000000 ,9777852,176571
500000,115000000000 ,548323,176523
500000,153750000000 ,5444401,175263
500000,116000000000 ,4660361,176379
500000,112000001459 ,7299304,176859
500000,108900000000 ,7406432,176907
500000,136000000000 ,2132397,176847
500000,172500000000 ,835118,176403
500000,131000000000 ,12873582,176367
500000,110000000000 ,5555604,176847
500000,119000000000 ,7256089,176391
500000,152000000000 ,6145010,176391
500000,170000000000 ,3079042,176403
500000,181000000000 ,4470257,176403
500000,176000000000 ,5332235,176355
500000,183000000000 ,5171751,229589
500000,293000000000 ,3328117,176643
500000,293000000000 ,6985803,176223
500000,291000000000 ,12702849,171829
500000,291000000000 ,4789346,176535
500000,291000000000 ,6890876,176583
500000,298100000000 ,10519262,176847
500000,297000000000 ,597823,174699
500000,253000000000 ,7738865,238727
500000,253000000000 ,7500138,176871
500000,238000000000 ,1711764,176823
500000,154000000000 ,7158035,177039
500000,172620000000 ,2845684,176391
500000,181650000000 ,5823907,175275
500000,191000000000 ,8846741,238715
500000,191000000000 ,4402987,176979
500000,174000000000 ,6222528,176367
500000,160000000000 ,375471,176607
500000,155520000000 ,9570891,176595
500000,160735933334 ,3351344,176523
500000,181000000000 ,6598806,176823
500000,192000000000 ,1847802,177051
500000,244000000000 ,13773903,175815
500000,220000000000 ,2053632,176871
500000,202400000000 ,13580293,176871
500000,184000000000 ,5969655,173594
500000,182000000000 ,2834139,176367
500000,184000000000 ,11859993,175323
500000,192000000000 ,3993638,176571
500000,201000000000 ,5261179,176367
500000,210000000000 ,7816971,239027
500000,203000000000 ,2490965,176775
500000,201000000000 ,2925224,238715
500000,193000000000 ,13863094,176297
